num_leaves,max_depth,subsample,colsample_bytree,scale_pos_weight,min_child_samples,min_child_weight,reg_alpha,reg_lambda,threshold,f1_score,auc,precision,recall,avg_best_iteration
8,8,0.10948129458298084,0.4801615369631116,1.5693000888878317,90,0.004,0.002621673827026866,1.5,0.32466482921829276,0.4599331385117904,0.8564257215660056,0.3323497809378131,0.7465937510106307,456.0
9,8,0.11730805001199107,0.4805497382593553,1.6000449810466146,90,0.004,0.002450941921473214,3.5,0.33020094689865165,0.45990372439547045,0.8565644667760107,0.3327771621131296,0.7443101520421553,486.2
7,7,0.12064078263581647,0.5069027952661492,1.5734947148868208,165,0.0001,0.002757365449456028,1.5,0.3231964160853426,0.4597026865413564,0.8566186407805851,0.3315056580611029,0.7496621723996646,538.4
7,13,0.06915448158500306,0.5141904233125281,1.5278520703256462,165,0.004,0.0026284445933889866,1.5,0.3192846022847124,0.4596940972028155,0.8566284248696581,0.3321693802285094,0.7462365574969004,537.4
9,14,0.09857081193246288,0.52482796434389,1.5755215604876298,135,0.0001,0.00031732288530895926,1.5,0.3290015496658648,0.4595771983642071,0.8566062508605288,0.33337677242512753,0.7396715510530549,510.2
7,18,0.06076705221949896,0.5062150934792403,1.5754939256157392,150,0.004,0.0030890414229982083,8.0,0.322750662630369,0.4594555150512698,0.8566169363043532,0.33125166417336105,0.7496622233290884,570.0
7,11,0.13592610339295236,0.5120304433514118,1.5865534239410508,165,0.0001,0.0028072483340529156,1.5,0.31870266127559577,0.45945481521415116,0.8566150214901944,0.32946549314778906,0.7589392215895939,554.4
7,12,0.08059829204144979,0.5252231897892897,1.4868756301128614,165,0.004,0.00262737673247101,1.5,0.31690529616561136,0.45943241404047785,0.8566653632356298,0.33312625745843266,0.7400997911129683,499.2
7,17,0.12417597480804626,0.4849173559397069,1.6053351673305507,150,0.008,0.003708149521327923,8.0,0.3286789284725715,0.45938290793271647,0.8566318146269281,0.3318910855853579,0.7460226284522828,606.2
7,13,0.08340850619027833,0.511261546467466,1.4930124942589584,165,0.004,0.0027226169843318476,1.5,0.3097945418926341,0.45935920859286766,0.8566167584518996,0.33056732418454826,0.7526597000307869,521.0
