max_depth,F1_score,Recall,Precision,AUC,Best_Iteration
2,0.44928684627575277,0.8094218415417559,0.31094049904030713,0.8537132638796393,487
3,0.4512146555157308,0.8087080656673804,0.3128969897818282,0.8543070810095773,328
4,0.45285285285285287,0.8072805139186295,0.31469115191986646,0.85353200948969,392
5,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
6,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
7,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
8,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
9,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
10,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
11,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
12,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
13,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
14,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
15,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
16,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
17,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
18,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
19,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
20,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
