num_leaves,max_depth,subsample,colsample_bytree,scale_pos_weight,min_child_samples,min_child_weight,reg_alpha,reg_lambda,threshold,f1_score,auc,precision,recall,avg_best_iteration
4,17,0.13364005794155448,0.2385425899037984,2.813402282943937,30,0.013756509356514525,0.0023346114494979826,1.2509262563336,0.190327822262052,0.40041742030061744,0.8373476748975337,0.25408245450449174,0.9444230357525155,18.0
4,20,0.11602056455220812,0.12025285900215234,3.320801766556279,40,0.0026311690198525376,0.002093684078358344,1.8546766884952628,0.17804448633620368,0.400294465958176,0.8153496898995499,0.2569144050768784,0.905844572896596,7.0
8,12,0.19051041681608183,0.20910855678989615,2.683070675008473,60,0.010889337433837394,0.0027134376894036374,0.4395416803631493,0.1729571504845756,0.399484571880991,0.8494776008004615,0.25179190986391287,0.9675444230357526,207.0
3,13,0.08142452112601176,0.12233775254809706,3.492980354931944,38,0.0024374879014603806,0.0017494656844228079,1.2762665466618455,0.18122706472441316,0.38972650381722546,0.8119578681010274,0.24774785940229305,0.9129094412331407,7.0
6,12,0.14862642644325144,0.12001903457483566,3.455762367029516,30,0.005377775441940886,0.0021151495401834173,1.9427400857108839,0.16898544414624422,0.3835330873775796,0.8182304239727436,0.23891524234392367,0.971868978805395,7.0
8,12,0.09417200087506693,0.12785796164649632,3.2686566643153516,49,0.021406674156730997,0.0017967444475129623,2.451389951989044,0.19549223808813798,0.37930239339314153,0.8402760627297805,0.2345665868890975,0.990494540783558,19.0
6,18,0.06861654874820475,0.16000831860118764,3.583703473074639,35,0.00047760129145965353,0.001716260185019826,2.753779463811121,0.19729447012761075,0.3776693229791554,0.8349912777837549,0.23328035396984292,0.9911796189252836,11.0
8,25,0.030212672530299526,0.1458502423768463,3.1267185305951712,54,0.015023882865072053,0.002393867755577106,0.8036492130637157,0.17492001029098178,0.3754610004244958,0.8403788291392397,0.23150731231164928,0.9928494968957396,19.0
11,32,0.14146131157685843,0.19036615816920144,2.7840546520394116,55,0.01663933551461453,0.0025802379067349814,1.6091324315208853,0.16045114469797758,0.3740206019481695,0.8414981408449256,0.23035830348993375,0.9938771141083279,19.0
3,29,0.14890720518800166,0.2090967256915875,2.962739800549513,45,0.013393910904117259,0.0021045201119573847,1.5497864515611635,0.1384329215261816,0.37311135054826805,0.833485524199568,0.22980254102130507,0.9913508884607151,18.0
