scale_pos_weight,F1_score,Recall,Precision,AUC,Best_Iteration
0.5,0.04065040650406504,0.021413276231263382,0.4,0.8506714274492928,116
0.75,0.16666666666666666,0.10706638115631692,0.37593984962406013,0.850323646700295,113
1.0,0.3748251748251748,0.38258386866523914,0.36737491432488006,0.851555963102227,116
1.25,0.4370469798657718,0.5810135617416131,0.3502581755593804,0.8523610243082236,101
1.5,0.4449551827166169,0.6909350463954318,0.328135593220339,0.8512643552053842,140
1.75,0.4482905982905983,0.7487508922198429,0.3199146081122293,0.851478729877383,113
2.0,0.45299321127340053,0.7858672376873662,0.31820809248554915,0.8529479043221575,53
2.25,0.4496380558428128,0.7758743754461099,0.31654047757716947,0.851970553614586,33
2.5,0.4511530398322851,0.76802284082798,0.31938260611457403,0.8511911063753732,24
2.75,0.44732441471571904,0.7637401855817273,0.3162873189476796,0.8501724531463627,21
3.0,0.4469109947643979,0.761598857958601,0.31624184943687017,0.8501766154159651,18
3.25,0.4469297320109728,0.7558886509635975,0.31725584182144995,0.8500114764801171,16
3.5,0.44629822732012514,0.7637401855817273,0.3152622274602239,0.8502476941737902,15
3.75,0.4481707317073171,0.734475374732334,0.3224694453149483,0.8489582088209946,13
4.0,0.44834481226394135,0.7201998572448252,0.32548387096774195,0.8479056882359035,12
4.25,0.4450963956412406,0.7580299785867237,0.31504004746366066,0.8485692322754196,12
4.5,0.4495372410753636,0.728051391862955,0.3251514185527574,0.848325472691527,11
4.75,0.4483870967741935,0.694503925767309,0.3310649880911875,0.8481351466883418,10
5.0,0.44945848375451264,0.7109207708779444,0.3286044209831739,0.8481629307273113,10
5.25,0.4378326076439284,0.6459671663097787,0.3311379436516648,0.8479740277222807,9
5.5,0.4448572091943348,0.6837972876516774,0.3296627666896077,0.8470647319014555,9
5.75,0.447841726618705,0.7109207708779444,0.3268788972760092,0.8475005962362268,9
6.0,0.42506350550381033,0.5374732334047109,0.35154061624649857,0.8469682170516162,8
6.25,0.4413489736070381,0.6445396145610278,0.3355629877369008,0.8475132609198033,8
6.5,0.44172074020668106,0.655960028551035,0.3329710144927536,0.8472681139127098,8
6.75,0.4434641281634548,0.681655960028551,0.3286304198210599,0.8470883892457768,8
7.0,0.4466697717745692,0.6845110635260528,0.3314898029726927,0.8471606064021255,8
7.25,0.3594632768361582,0.36331192005710206,0.3556953179594689,0.846137755328559,7
7.5,0.4059612518628912,0.4860813704496788,0.34851586489252817,0.8458721527229922,7
7.75,0.40526788386710566,0.483226266952177,0.34896907216494844,0.8462774581723921,7
8.0,0.41185013069997095,0.5060670949321913,0.34720861900097943,0.8459163368156943,7
8.25,0.4147695724597446,0.5331905781584583,0.3393911858246252,0.845853333572397,7
8.5,0.41040297227779365,0.5124910778015703,0.342230695900858,0.8457066936125596,7
8.75,0.4369186739804436,0.6538187009279086,0.32808022922636104,0.8453585926889768,7
9.0,0.0,0.0,0.0,0.8453393110639814,6
9.25,0.0,0.0,0.0,0.8464537320688,6
9.5,0.0,0.0,0.0,0.8453730716952006,6
9.75,0.0,0.0,0.0,0.845648564137942,6
10.0,0.0,0.0,0.0,0.8457756378731527,6
