num_leaves,max_depth,subsample,colsample_bytree,scale_pos_weight,min_child_samples,min_child_weight,reg_alpha,reg_lambda,threshold,f1_score,auc,precision,recall,avg_best_iteration
12,13,0.21050946109159988,0.3191743427622317,1.5508083876797971,84,0.011564503021358441,0.002854671256715976,3.779690209331303,0.3177598781532248,0.46016135937371716,0.8572956006838719,0.3318392776610724,0.7504602868764718,538.2
12,12,0.11381219072948251,0.32938828175602525,1.5920827213303899,79,0.010747086635945162,0.0027958517235192287,2.7927274666500685,0.3243183101906297,0.4601307502786883,0.8573499092218183,0.33194543252582964,0.7497323913508884,491.0
12,13,0.10656385679985592,0.3138442305832831,1.5898085636766102,81,0.010920456660256017,0.002766473702006755,3.011240808398292,0.3219853442110035,0.4601123960278838,0.8573313538810519,0.33134878943443213,0.7526867908370798,499.8
12,13,0.10723005943864909,0.2994961010166561,1.5351134481066224,84,0.010824030094439548,0.0027034975597664437,2.919520906778688,0.32031068582851113,0.4600673407746867,0.8573651876062425,0.333358126912296,0.742324983943481,527.2
12,12,0.1721414923788011,0.3421282945715092,1.582095220260758,78,0.011358607414768643,0.002787793935133927,3.379449653205687,0.321098056148873,0.4598416766449841,0.8573071253553861,0.3311512874247341,0.7522586169985013,479.4
13,15,0.2080033505010426,0.31854955729718554,1.5211628334918252,79,0.011896403175421087,0.002886014988191258,4.414691017809916,0.3137316162360202,0.45981172004066806,0.8573256353979746,0.33165629877398245,0.7495183044315993,490.2
12,12,0.11780669442931595,0.3023857793844558,1.5666175401069575,92,0.01075656523887343,0.0027482426906904073,3.375141041935839,0.3200438053622221,0.45979688556103177,0.8573957064855786,0.3317704135234751,0.7488760436737316,570.0
12,14,0.11531535798436382,0.337365747170942,1.7109043778134319,75,0.009402634119108069,0.002804888847138764,3.8997639720161796,0.3368400143253355,0.4597670674328481,0.857305660867833,0.3309535298535364,0.752900877756369,587.2
13,15,0.206444439603583,0.3142666845797993,1.4661602239355387,80,0.011959341582456522,0.0028799581608795434,4.019913568798888,0.309815552642076,0.45975109946757786,0.8573002419254543,0.33279081264105226,0.7434810533076429,479.2
13,15,0.21211218384768593,0.33166309488485546,1.619786054925996,79,0.011211052092262757,0.0027956064004612817,5.046444082341326,0.3199671780878302,0.4597490600929177,0.8574163923413869,0.3294353902763108,0.7607792763862128,536.6
