num_leaves,F1_score,Recall,Precision,AUC,Best_Iteration
2,0.44700277888050816,0.8037116345467523,0.309595820731372,0.8513834601509288,993
3,0.4523431294678316,0.8129907209136331,0.31334250343878955,0.8534414712321001,711
4,0.4521393034825871,0.8108493932905068,0.31346578366445915,0.8533822389339124,480
5,0.45190961807638474,0.806566738044254,0.3138888888888889,0.8533942276933654,418
6,0.4536370903277378,0.8101356174161314,0.31501526505689703,0.8536304098120846,398
7,0.45349761526232113,0.814418272662384,0.31423850179014046,0.8529474418477574,355
8,0.4495540138751239,0.8094218415417559,0.31119648737650935,0.8538469189813154,278
9,0.4526633165829146,0.8037116345467523,0.315053161723559,0.8528175576911912,294
10,0.443208895949166,0.7965738758029979,0.30701513067400277,0.8521885569318793,70
11,0.4463605373972328,0.7944325481798715,0.31037367540435024,0.8522458326076042,61
12,0.44515999195009054,0.7894361170592434,0.3099775784753363,0.8519302116169014,55
13,0.4443550010062387,0.7880085653104925,0.3094170403587444,0.8518220637571475,55
14,0.4485456369107322,0.7980014275517487,0.3119419642857143,0.852462377351789,66
15,0.44551282051282054,0.793718772305496,0.30966304650515175,0.8526453393395238,58
16,0.447245375076235,0.7851534618129907,0.312677657760091,0.8520052036196519,49
17,0.44810478269497916,0.8058529621698787,0.31033534909290816,0.853718955872258,117
18,0.44950213371266,0.7894361170592434,0.31420454545454546,0.8519566793825781,50
19,0.4484029484029484,0.7815845824411135,0.3143841515934539,0.851889869619217,44
20,0.452029892950919,0.7987152034261242,0.3152112676056338,0.8524546575868001,57
21,0.451081359423275,0.7815845824411135,0.31702374059061955,0.8517660687797621,44
22,0.45021468002453485,0.7858672376873662,0.31547277936962753,0.852112497680513,49
23,0.45038167938931295,0.8001427551748751,0.31339110986860497,0.8524584285319099,65
24,0.44945213975604714,0.7758743754461099,0.31635622817229336,0.8518479623235625,45
25,0.44790612988063927,0.7901498929336188,0.3125352907961604,0.8524273715971844,160
26,0.4501331148883883,0.7844396859386152,0.3156232050545663,0.8522090125303524,48
27,0.45133111480865223,0.7744468236973591,0.3184619900205459,0.8521520570292124,42
28,0.45071010860484545,0.7701641684511064,0.3185710067906702,0.8516519087528047,42
29,0.4513684210526316,0.7651677373304783,0.3200955509107196,0.8520872038883139,39
30,0.452159537094441,0.780870806566738,0.3182082606166376,0.8523596724599768,46
31,0.45299321127340053,0.7858672376873662,0.31820809248554915,0.8529479043221575,53
32,0.44839114082741327,0.7658815132048536,0.31698670605613,0.8520058439688216,42
33,0.4517871986699917,0.7758743754461099,0.31867487540310757,0.8519851393456713,43
34,0.45081801656231063,0.7965738758029979,0.3143661971830986,0.8526142112548908,80
35,0.4521521103217718,0.7723054960742327,0.31964549483013294,0.85122714380364,45
36,0.44988864142538976,0.7930049964311207,0.3140192198982476,0.8520380748770244,99
37,0.4505563720344321,0.7658815132048536,0.31915526472337896,0.851691254651781,46
38,0.45044670683565347,0.7737330478229836,0.31770222743259086,0.8521177271987312,48
39,0.44970414201183434,0.7594575303354747,0.3194235965175623,0.8515088262883539,40
40,0.4495665045464157,0.7587437544610992,0.3194110576923077,0.8509284564909776,42
