num_leaves,F1_score,Recall,Precision,AUC,Best_Iteration
10,0.443208895949166,0.7965738758029979,0.30701513067400277,0.8521885569318793,70
20,0.452029892950919,0.7987152034261242,0.3152112676056338,0.8524546575868001,57
30,0.452159537094441,0.780870806566738,0.3182082606166376,0.8523596724599768,46
40,0.4495665045464157,0.7587437544610992,0.3194110576923077,0.8509284564909776,42
50,0.45071627111396195,0.7523197715917203,0.32173382173382176,0.8509112026383524,41
60,0.44627418690819265,0.7737330478229836,0.31356667630893836,0.84978763887039,80
70,0.4472644060744747,0.7673090649536045,0.315619495008808,0.8504232921460748,86
80,0.4450939457202505,0.7608850820842256,0.3145470640306875,0.8485061934571684,96
90,0.4452370960973563,0.7573162027123483,0.3153046062407132,0.8477453874937814,82
100,0.44526498696785405,0.7316202712348323,0.32001248829222606,0.8485985460374056,41
110,0.4423823910228744,0.7316202712348323,0.3170429941231055,0.8468103354063569,46
120,0.4443007972419737,0.7359029264810849,0.31820987654320987,0.8477753416049371,46
