num_leaves,max_depth,subsample,colsample_bytree,scale_pos_weight,min_child_samples,min_child_weight,reg_alpha,reg_lambda,threshold,f1_score,auc,precision,recall,avg_best_iteration
12,12,0.1413166820876283,0.32476109008200016,1.909840540062804,81,0.006766342698644459,0.002708056991558934,5.168793193504822,0.35964970057748685,0.4600562729483567,0.8572806979710099,0.3306458143821327,0.7560265467779919,648.6
11,13,0.1350777974912156,0.31787723396067014,1.9006376421760336,72,0.004349094334553702,0.0025567602867929582,6.9576387590088835,0.3596431099834005,0.4598071792822468,0.8573460119719971,0.3306312946503135,0.7547848426461143,584.4
11,11,0.12807909984171628,0.32557514858934,1.919259130547699,74,0.00614961630794145,0.0026494376501190746,6.90138927924313,0.3555093370751209,0.4597563345892513,0.8573517340041459,0.3287123625275152,0.7646756583172768,603.0
12,13,0.13804965187484125,0.304463378331538,1.9346974735849944,75,0.005315153972418104,0.002662515581312632,6.091341016710915,0.36556234271058663,0.45971221467870943,0.8573259200627742,0.3311275386516996,0.7517019910083494,624.6
12,14,0.12758291658381046,0.3232788996292952,1.9210183427585632,85,0.007745659097027581,0.002862384496838047,4.768326011745249,0.3649755006191696,0.45970062228601494,0.8573430016071519,0.3314872308792892,0.7498180261186043,553.0
12,11,0.13035535210339338,0.31898222805238735,1.900921086377006,82,0.0045157282129550825,0.0028534732459594508,6.038733206787476,0.3636643965446606,0.45965180640955383,0.8574175298119453,0.3318431838098833,0.7477199743095697,605.6
14,12,0.12795250925877424,0.30994977470860235,1.9246040941024198,75,0.007707765380968676,0.002930657770477824,5.096075983499397,0.3661239418544923,0.4596460198162613,0.8573476752419069,0.3316323630176521,0.7487904089060159,529.8
12,13,0.12022092613132744,0.30889300119684,1.9091800608672627,79,0.013204586112841712,0.002794987377383039,5.315864792819643,0.36001496789373255,0.4596433655774721,0.8573590567895775,0.3303457975143609,0.7553842860201241,560.2
12,13,0.1209725150840949,0.30937502152270746,1.9008425991111564,80,0.005766465939178684,0.0028873697392155367,4.8853031084219465,0.36508078490591245,0.45964310370548034,0.8573926375094982,0.3320935524124617,0.7464354527938342,556.2
11,12,0.12902229074638036,0.3002668810795059,1.9129879707667867,81,0.01263806272444491,0.002650679559770546,6.011118355126923,0.36509862288422873,0.45964137640453784,0.8572743531344663,0.33173333309700304,0.7481909655320059,582.0
