num_leaves,max_depth,subsample,colsample_bytree,scale_pos_weight,min_child_samples,min_child_weight,reg_alpha,reg_lambda,threshold,f1_score,auc,precision,recall,avg_best_iteration
11,14,0.24373353853679358,0.33401718468276287,1.8403409011420684,84,0.003707426057334498,0.00222879095559031,4.185040833174782,0.35005341523897654,0.4601081636251407,0.8573293526643818,0.33026759949903695,0.7583386855063156,588.6
12,14,0.16266908498011895,0.3545194787653493,1.816080950226916,84,0.004568169203425835,0.0025608049110905683,4.634260077928894,0.34811526484037897,0.4598629038112813,0.8572407043043011,0.3302607699408356,0.7570113466067224,519.8
12,12,0.17347304780376133,0.35305330468534907,1.8199456069367876,83,0.004400234687946743,0.0028152933017510304,3.7125892022613756,0.35138304706413176,0.4598574072766385,0.8573947810089617,0.3311761698813124,0.7522586169985014,561.4
13,15,0.16350579805415405,0.2946922646640091,1.8480328393809398,75,0.004445434067656537,0.0028380520156889057,4.324842917616145,0.3573948163649905,0.4598498023880637,0.8573524763656529,0.33183363722196246,0.7488332262898737,531.4
12,15,0.20887884298150622,0.3345874805820153,1.8267816412888382,89,0.0005082884228810218,0.002525465901509257,5.1840842655385515,0.35358639388757057,0.45982948051674555,0.8573498725744393,0.3314394904924394,0.7507171911796189,491.6
13,14,0.16238612791459467,0.2971720553395336,1.799112228994028,79,0.0035479222008899555,0.002543210606821424,4.552670391362743,0.3537858464585622,0.45976775371689343,0.8573375560216577,0.3325149164448172,0.7449368443588097,462.8
11,13,0.24134168834061662,0.3487146014680883,1.8620072963895964,83,0.00397642800356958,0.0027371503558709254,5.608742780179582,0.3548294554516551,0.4597307749409968,0.8573249907481204,0.3308131153585808,0.7534575037465212,665.4
10,12,0.22932951523655948,0.37189955274892394,1.7971384908359997,82,0.0024324147343238755,0.002315017713553263,0.6758927590442994,0.3501978912049319,0.45971109983249425,0.8572646805031431,0.33151888291417325,0.7496895739670306,558.6
12,11,0.16526758532182534,0.31995937177893313,1.8234237967546696,81,0.004572551399035966,0.0026489289530787483,5.296106520011082,0.34984489712814,0.45970526446511445,0.8573110360538155,0.330531599450515,0.7547420252622564,589.2
12,10,0.1589035012832626,0.357304766314703,1.8146537271844936,74,0.004612531899813782,0.0027893442357052297,4.33451501663507,0.34568806433443633,0.4597048904259209,0.857330214528685,0.3295969230122546,0.7596660244059088,604.2
