num_leaves,max_depth,subsample,colsample_bytree,scale_pos_weight,min_child_samples,min_child_weight,reg_alpha,reg_lambda,threshold,f1_score,auc,precision,recall,avg_best_iteration
13,9,0.20844852727348576,0.31247030471862147,2.097755015651505,56,0.013501858373869717,0.00270310938375415,0.9347060388506013,0.3870493397536778,0.46005951617423013,0.8572165315435025,0.3321978457942489,0.7480625133804325,630.4
12,21,0.1959528383648263,0.3414172018745821,2.0939310803639275,56,0.012827617510971756,0.0026758826725536483,0.7289665742200054,0.38375282340086786,0.4600319428750831,0.8572859260797978,0.33127577227061605,0.7526867908370798,576.8
13,24,0.20836219208639983,0.30532106723193975,2.0800250775415026,72,0.013784074978010832,0.002628421419471159,0.6624284330452924,0.3841747644993061,0.4599641789365331,0.8572889631949934,0.3317483318029306,0.749860843502462,585.0
13,21,0.20327199594704198,0.33426673517381766,2.100397225526494,67,0.011099818452223655,0.0026512081546531314,0.6376855764018303,0.3879006721739629,0.4599410846905837,0.8573253161984825,0.332176153196427,0.7475487047741384,592.4
13,24,0.21328286383206851,0.3101053245978149,2.091205251432145,73,0.013815385269090033,0.002658004573039821,1.033774844864505,0.389249999058535,0.4599363688059389,0.8573635012802739,0.3329802522032351,0.7435238706915007,579.6
12,20,0.21367697784009226,0.33760086208048073,2.0821235513843193,64,0.012284916123994643,0.002494539818441985,1.2553337411072572,0.38574385627638247,0.45991042708458585,0.8573218438026368,0.33226286795588494,0.7469920787839863,663.8
13,24,0.20744693535252273,0.3191726645126162,2.0929837546478254,57,0.013741932559668438,0.002210025123835265,5.827653934489514,0.3870800003890124,0.45985267392717966,0.8572216010589748,0.33221274719095056,0.7469064440162706,602.2
13,22,0.2216239924251671,0.31711708094746727,2.1618044350286514,53,0.013643800558834122,0.001763659110504345,1.101614212109415,0.39170149572981605,0.4598246707481465,0.8571965921956176,0.33103548481673845,0.7527724256047955,531.6
13,23,0.19699316103433537,0.3133722180848247,2.087653724832472,51,0.010071565396939267,0.002630145959450026,0.8099120351229703,0.3847314248270558,0.4598232573815957,0.8572798028990392,0.3316081682558919,0.7498180261186042,575.0
13,21,0.2018880174823139,0.3171904391732195,2.099417845116743,55,0.010061242362640013,0.0026668047519254603,1.0185880614174951,0.38402335215085626,0.45979788921604675,0.857207726535117,0.3310534406872561,0.7525583386855063,625.4
