colsample_bytree,F1_score,Recall,Precision,AUC,Avg_Best_Iteration
0.5,0.4522210395448038,0.8135386870340895,0.3131759048780079,0.8532257999093906,326.4
0.55,0.4526929462564124,0.8105403703237183,0.31406880593635184,0.852794121541377,355.2
0.6,0.4526929462564124,0.8105403703237183,0.31406880593635184,0.852794121541377,355.2
0.65,0.45388431537027396,0.8113980464679547,0.31508702636038965,0.8524816952494086,322.2
0.7,0.45388431537027396,0.8113980464679547,0.31508702636038965,0.8524816952494086,322.2
0.75,0.4527648141481258,0.8113982754869516,0.31401530661428845,0.8525120484696653,311.2
0.8,0.4530796534836754,0.8099002622267518,0.3145518660634242,0.8524630569356461,327.4
0.85,0.4530796534836754,0.8099002622267518,0.3145518660634242,0.8524630569356461,327.4
0.9,0.4507812394994196,0.8084022489665518,0.31256370307791653,0.8517703063167682,176.2
0.95,0.4507812394994196,0.8084022489665518,0.31256370307791653,0.8517703063167682,176.2
1.0,0.4514726858338725,0.8092580929588109,0.31310339698009504,0.8522467722812699,270.8
