boosting_type,F1_score,Recall,Precision,AUC,Best_Iteration
gbdt,0.45299321127340053,0.7858672376873662,0.31820809248554915,0.8529479043221575,53
dart,0.4466257668711656,0.7794432548179872,0.3129836629406707,0.8481847737489854,0
goss,0.44833986388946173,0.7758743754461099,0.31525522041763343,0.8514823229477236,44
