num_leaves,max_depth,subsample,colsample_bytree,scale_pos_weight,min_child_samples,min_child_weight,reg_alpha,reg_lambda,threshold,f1_score,auc,precision,recall,avg_best_iteration
10,18,0.16732402219645612,0.3271943902474697,1.8,90,0.001314615499198153,0.0018305725382069089,6.708595476489034,0.34745770276239596,0.45997051569333836,0.8572077451735423,0.3306585501832586,0.7555127381716977,588.8
10,19,0.14035647700461162,0.3046699086483423,1.8,105,0.009448890698888133,0.0020556131495174227,7.195428533872181,0.34743377110049356,0.4598622448600668,0.8573231621234102,0.33090460646095643,0.7536715906658105,685.2
10,19,0.14044532722107797,0.3252020402687179,1.8,103,0.008152951869680358,0.0020512505683912274,6.93429704314042,0.34553078388113345,0.4598586356758786,0.8572788189239361,0.33014551859272434,0.7576107899807321,596.4
10,21,0.14222864744171873,0.3194621975358588,1.75,89,0.011996921605766623,0.002210246650066994,4.608070209482505,0.3440967434794704,0.45978070705204266,0.8573521747738979,0.3315288347057354,0.7500321130378934,616.8
10,8,0.20206594236681105,0.5757727439129025,1.8,82,0.0033932699789122446,0.0018219372281671558,7.560625040805893,0.34992411182981226,0.45973939915529893,0.8571421482730439,0.33073984827026004,0.7538428602012418,627.6
11,20,0.166107459178867,0.32083075572002734,1.8,92,0.01014493953126032,0.002744655359124001,6.536624804795498,0.34991239405479196,0.4597296262938064,0.857302876342408,0.33136732560527593,0.7505887390280452,580.6
10,22,0.13269436132179283,0.30841761206132984,1.75,102,0.01160398497922889,0.0021775779503768852,6.362088565912791,0.33865482762323373,0.4597155208976608,0.8573061486643303,0.32985895654890524,0.7583386855063156,632.6
10,21,0.1418983145110729,0.3192987642367279,1.75,110,0.011978408921927367,0.0020241114346921003,7.320160759544136,0.3399316088095204,0.4596943542942231,0.8573355256668087,0.33029105934590886,0.755983729394134,598.8
10,21,0.1607861993019163,0.3192155308156984,1.8,89,0.011601313522469037,0.0022555263994361867,6.844580795943992,0.34488733203450817,0.45966156267075664,0.85733456055672,0.33000174457527903,0.7573110682937273,666.2
9,21,0.16073383910441053,0.3258720095106079,1.8,113,0.004649317725263295,0.0027152614758930407,7.425846166692383,0.3418811289299204,0.4596535284335993,0.8572772874723131,0.3289025914045395,0.7630914151145365,695.8
